device,qdisc,mbs
asus-cn60-2,cake20,863
asus-cn60-2,cake40,861
asus-cn60-2,fq,804
asus-cn60-2,fq_codel,794
asus-cn60-2,noqueue,846
asus-cn60-2,pfifo_fast,838
jetson-nano,cake20,399
jetson-nano,cake40,356
jetson-nano,fq,465
jetson-nano,fq_codel,451
jetson-nano,noqueue,458
jetson-nano,pfifo_fast,530
lpi4a,cake20,98.6
lpi4a,cake40,148
lpi4a,fq,136
lpi4a,fq_codel,76.2
lpi4a,noqueue,134
lpi4a,pfifo_fast,128
nanopi-neo3,cake20,300
nanopi-neo3,cake40,255
nanopi-neo3,fq,257
nanopi-neo3,fq_codel,271
nanopi-neo3,noqueue,412
nanopi-neo3,pfifo_fast,394
nanopi-r1,cake20,184
nanopi-r1,cake40,187
nanopi-r1,fq,220
nanopi-r1,fq_codel,245
nanopi-r1,noqueue,251
nanopi-r1,pfifo_fast,251
nanopi-r2s,cake20,280
nanopi-r2s,cake40,279
nanopi-r2s,fq,348
nanopi-r2s,fq_codel,379
nanopi-r2s,noqueue,387
nanopi-r2s,pfifo_fast,
nanopi-r5c,cake20,482
nanopi-r5c,cake40,480
nanopi-r5c,fq,656
nanopi-r5c,fq_codel,716
nanopi-r5c,noqueue,727
nanopi-r5c,pfifo_fast,723
pi3b,cake20,84.2
pi3b,cake40,83.0
pi3b,fq,86.7
pi3b,fq_codel,87.4
pi3b,noqueue,87.4
pi3b,pfifo_fast,87.2
pi4,cake20,440
pi4,cake40,438
pi4,fq,564
pi4,fq_codel,626
pi4,noqueue,617
pi4,pfifo_fast,647
